day,hour,time,time_h,open,open_h,setup,aosetup,telsetup,offsets,wfs,mode,magnitude
20170919,02:38:01,1565,0.434722222222,918,0.255,647,248,399,0,FLAO,FLAOAO,8.64999961853
20170919,03:55:51,11839,3.28861111111,11357,3.15472222222,481,285,195,0,FLAO,FLAOAO,8.64999961853
20170920,02:26:25,3408,0.946666666667,2932,0.814444444444,476,315,161,0,FLAO,FLAOAO,8.64999961853
20170920,04:09:33,569,0.158055555556,219,0.0608333333333,350,280,70,0,FLAO,FLAOAO,8.64999961853
20170920,04:19:08,850,0.236111111111,470,0.130555555556,379,254,125,0,FLAO,FLAOAO,8.64999961853
20170920,04:33:22,1894,0.526111111111,1527,0.424166666667,366,275,90,0,FLAO,FLAOAO,8.64999961853
20170920,06:32:12,4165,1.15694444444,3057,0.849166666667,713,346,367,394,FLAO,FLAOAO,12.1000003815
20170920,11:57:56,887,0.246388888889,370,0.102777777778,499,244,254,18,FLAO,FLAOAO,8.82999992371
20170921,05:03:28,2046,0.568333333333,1116,0.31,929,776,153,0,FLAO,FLAOAO,15.5
20170921,05:42:03,2888,0.802222222222,2250,0.625,236,201,35,401,FLAO,FLAOAO,13.8999996185
20170921,06:33:39,1295,0.359722222222,957,0.265833333333,318,253,65,19,FLAO,FLAOAO,12.1000003815
20170921,06:55:20,1609,0.446944444444,1023,0.284166666667,471,289,182,114,FLAO,FLAOAO,12.1000003815
20170921,07:49:07,1468,0.407777777778,1133,0.314722222222,334,280,54,0,FLAO,FLAOAO,12.0
20170922,03:38:07,2372,0.658888888889,1630,0.452777777778,603,372,231,138,FLAO,FLAOAO,10.5699996948
20170922,04:55:27,2527,0.701944444444,775,0.215277777778,1732,303,1429,19,FLAO,FLAOAO,10.5699996948
20170922,05:37:43,1394,0.387222222222,596,0.165555555556,715,289,426,82,FLAO,FLAOAO,5.80999994278
20170924,02:28:00,702,0.195,34,0.00944444444444,667,330,337,0,FLAO,FLAOAO,8.64999961853
20170924,04:00:08,2450,0.680555555556,1488,0.413333333333,962,282,680,0,FLAO,FLAOAO,8.64999961853
20170924,04:41:04,8128,2.25777777778,7478,2.07722222222,649,233,416,0,FLAO,FLAOAO,10.6999998093
20170924,06:56:38,1534,0.426111111111,740,0.205555555556,794,189,604,0,FLAO,FLAOAO,10.3000001907
20170924,07:32:10,3974,1.10388888889,2877,0.799166666667,1065,438,627,31,FLAO,FLAOAO,8.56999969482
20170924,08:38:33,3172,0.881111111111,1859,0.516388888889,502,238,263,810,FLAO,FLAOAO,10.5699996948
20170924,09:31:31,678,0.188333333333,322,0.0894444444444,355,225,130,0,FLAO,FLAOAO,10.5699996948
20170924,09:42:54,1219,0.338611111111,767,0.213055555556,342,238,104,109,FLAO,FLAOAO,10.5699996948
20170924,10:10:05,4611,1.28083333333,3669,1.01916666667,400,252,148,541,FLAO,FLAOAO,8.82999992371
20170924,11:49:31,684,0.19,227,0.0630555555556,457,232,225,0,FLAO,FLAOAO,5.07999992371
20170924,12:07:36,1598,0.443888888889,1068,0.296666666667,529,324,205,0,FLAO,FLAOTT,12.5799999237
20170925,01:52:01,992,0.275555555556,501,0.139166666667,490,257,232,0,FLAO,FLAOAO,4.57999992371
20170925,02:23:45,11039,3.06638888889,9075,2.52083333333,373,284,89,1590,FLAO,FLAOAO,4.57999992371
20170925,05:40:06,3698,1.02722222222,2859,0.794166666667,687,283,404,151,FLAO,FLAOAO,10.9899997711
20170925,07:24:07,2510,0.697222222222,1995,0.554166666667,432,244,187,82,FLAO,FLAOAO,13.3100004196
20170925,08:06:01,713,0.198055555556,346,0.0961111111111,344,199,145,21,FLAO,FLAOAO,13.3100004196
20170925,08:18:02,662,0.183888888889,388,0.107777777778,252,197,55,21,FLAO,FLAOAO,13.3100004196
20170925,08:33:22,12990,3.60833333333,11716,3.25444444444,586,319,266,687,FLAO,FLAOAO,14.3999996185
20170925,12:16:26,2035,0.565277777778,1367,0.379722222222,428,240,188,239,FLAO,FLAOTT,12.5799999237
20171002,02:39:02,1886,0.523888888889,808,0.224444444444,713,345,367,364,LBTI,FLAOAO,2.86999988556
20171002,03:12:00,3346,0.929444444444,2698,0.749444444444,302,125,176,346,LBTI,FLAOAO,6.84999990463
20171002,04:09:03,2987,0.829722222222,2228,0.618888888889,258,147,111,499,LBTI,FLAOAO,5.86000013351
20171002,05:01:31,4378,1.21611111111,3192,0.886666666667,310,158,151,875,LBTI,FLAOAO,6.84999990463
20171002,06:14:58,3011,0.836388888889,2493,0.6925,419,74,344,98,LBTI,FLAOAO,2.04999995232
20171003,04:08:28,2394,0.665,754,0.209444444444,1612,163,1448,28,LBTI,FLAOAO,2.86999988556
20171003,04:51:48,5200,1.44444444444,4603,1.27861111111,351,180,170,245,LBTI,FLAOAO,6.09999990463
20171003,06:18:48,2474,0.687222222222,2063,0.573055555556,354,155,198,57,LBTI,FLAOAO,4.09999990463
20171003,07:00:19,1665,0.4625,824,0.228888888889,799,214,584,42,LBTI,FLAOAO,11.1000003815
20171003,09:12:42,6039,1.6775,4919,1.36638888889,552,293,258,568,LBTI,FLAOAO,13.3999996185
20171003,11:07:30,4013,1.11472222222,3207,0.890833333333,234,130,104,571,LBTI,FLAOAO,10.0
20171004,01:21:06,2474,0.687222222222,671,0.186388888889,1750,152,1597,52,LBTI,FLAOAO,2.86999988556
20171004,02:03:35,3969,1.1025,3303,0.9175,481,168,313,184,LBTI,FLAOAO,3.40000009537
20171004,03:47:55,336,0.0933333333333,5,0.00138888888889,331,163,167,0,LBTI,FLAOAO,2.5
20171004,03:55:37,486,0.135,265,0.0736111111111,196,151,45,24,LBTI,FLAOAO,2.5
20171004,06:48:53,1058,0.293888888889,708,0.196666666667,350,162,187,0,LBTI,FLAOAO,5.94999980927
20171004,07:11:40,2484,0.69,2171,0.603055555556,313,154,159,0,LBTI,FLAOAO,4.90000009537
20171004,07:59:01,3255,0.904166666667,2782,0.772777777778,333,182,150,138,LBTI,FLAOAO,4.90000009537
20171004,08:54:13,6078,1.68833333333,4962,1.37833333333,574,170,403,542,LBTI,FLAOAO,10.8000001907
20171007,01:26:59,1145,0.318055555556,346,0.0961111111111,777,116,661,21,LBTI,FLAOAO,2.86999988556
20171007,01:50:33,7082,1.96722222222,5918,1.64388888889,405,127,277,758,LBTI,FLAOAO,5.78000020981
20171007,03:48:56,14056,3.90444444444,11812,3.28111111111,358,206,151,1885,LBTI,FLAOAO,4.94000005722
20171007,07:46:23,1165,0.323611111111,797,0.221388888889,255,79,176,112,LBTI,FLAOAO,4.94000005722
20171007,08:17:49,6064,1.68444444444,5043,1.40083333333,456,109,346,563,LBTI,FLAOAO,10.970000267
20171007,10:49:34,1427,0.396388888889,1116,0.31,261,79,181,49,LBTI,FLAOAO,7.78000020981
20171007,11:14:11,1149,0.319166666667,769,0.213611111111,283,104,178,95,LBTI,FLAOAO,11.0
20171007,11:34:20,794,0.220555555556,333,0.0925,437,88,349,22,LBTI,FLAOAO,13.0
20171007,12:18:36,1538,0.427222222222,1202,0.333888888889,215,88,127,120,LBTI,FLAOAO,13.0
20171008,01:43:26,511,0.141944444444,198,0.055,287,146,140,26,LBTI,FLAOAO,2.86999988556
20171008,02:10:36,990,0.275,658,0.182777777778,266,211,55,65,LBTI,FLAOAO,4.36000013351
20171008,02:27:49,4688,1.30222222222,4018,1.11611111111,223,141,82,446,LBTI,FLAOAO,4.36000013351
20171008,04:48:12,10080,2.8,8597,2.38805555556,345,162,183,1137,LBTI,FLAOAO,7.34000015259
20171008,07:36:41,1837,0.510277777778,1532,0.425555555556,176,112,63,129,LBTI,FLAOAO,7.34000015259
20171008,09:34:47,9257,2.57138888889,8757,2.4325,499,235,263,0,LBTI,FLAOAO,15.5399999619
20171008,12:32:06,1258,0.349444444444,979,0.271944444444,204,153,51,73,LBTI,FLAOAO,3.52999997139
20171029,01:56:58,1341,0.3725,970,0.269444444444,371,245,125,0,FLAO,FLAOAO,7.38000011444
20171029,02:19:26,2017,0.560277777778,1446,0.401666666667,571,261,309,0,FLAO,FLAOAO,10.9899997711
20171029,02:56:02,2069,0.574722222222,1673,0.464722222222,383,285,97,12,FLAO,FLAOAO,10.9899997711
20171029,03:38:18,665,0.184722222222,191,0.0530555555556,473,281,192,0,FLAO,FLAOAO,10.9899997711
20171029,03:49:33,5455,1.51527777778,4718,1.31055555556,565,245,319,171,FLAO,FLAOAO,12.6999998093
20171029,05:26:04,1070,0.297222222222,492,0.136666666667,550,319,230,27,FLAO,FLAOAO,14.3999996185
20171029,05:46:42,760,0.211111111111,409,0.113611111111,263,221,42,87,FLAO,FLAOAO,14.3999996185
20171029,05:59:29,5040,1.4,4144,1.15111111111,289,228,61,606,FLAO,FLAOAO,14.3999996185
20171029,07:43:20,8330,2.31388888889,7106,1.97388888889,686,338,348,538,FLAO,FLAOAO,14.3999996185
20171029,10:07:36,9687,2.69083333333,8496,2.36,513,261,252,677,FLAO,FLAOAO,4.80000019073
20171102,01:22:16,9560,2.65555555556,8894,2.47055555556,407,236,171,258,FLAO,FLAOAO,12.9099998474
20171102,04:07:29,0,0.0,-1076,-0.298888888889,577,307,269,499,FLAO,FLAOAO,14.3999996185
20171103,08:14:28,6790,1.88611111111,5903,1.63972222222,496,327,169,390,FLAO,FLAOAO,11.1300001144
20171103,10:12:29,9567,2.6575,8508,2.36333333333,412,301,111,647,FLAO,FLAOAO,12.2299995422
20171106,01:19:09,4426,1.22944444444,3603,1.00083333333,814,181,633,8,LBTI,FLAOAO,7.23000001907
20171106,07:44:44,562,0.156111111111,298,0.0827777777778,180,122,58,83,LBTI,FLAOAO,1.0
20171106,07:54:28,1808,0.502222222222,1313,0.364722222222,448,145,302,46,LBTI,FLAOAO,4.09999990463
20171106,08:24:50,966,0.268333333333,415,0.115277777778,529,153,376,21,LBTI,FLAOAO,4.69999980927
20171106,10:46:14,312,0.0866666666667,44,0.0122222222222,267,107,160,0,LBTI,FLAOAO,10.0
20171106,10:57:09,1244,0.345555555556,984,0.273333333333,191,136,54,68,LBTI,FLAOAO,10.0
20171106,12:30:14,841,0.233611111111,198,0.055,597,115,482,45,LBTI,FLAOAO,5.13000011444
20171106,12:44:21,445,0.123611111111,301,0.0836111111111,143,68,75,0,LBTI,FLAOAO,5.13000011444
20171106,12:52:16,1629,0.4525,1087,0.301944444444,314,106,207,227,LBTI,FLAOAO,5.13000011444
20171107,00:44:02,1037,0.288055555556,281,0.0780555555556,753,178,574,2,LBTI,FLAOAO,2.3900001049
20171107,01:04:24,5243,1.45638888889,4564,1.26777777778,678,178,500,0,LBTI,FLAOAO,7.23000001907
20171107,04:49:54,276,0.0766666666667,15,0.00416666666667,261,137,123,0,LBTI,FLAOAO,12.0
20171107,06:21:57,1974,0.548333333333,1332,0.37,580,163,416,61,LBTI,FLAOAO,2.84999990463
20171109,02:21:36,4610,1.28055555556,3302,0.917222222222,1299,172,1126,8,LBTI,FLAOAO,2.48000001907
20171109,03:54:09,0,0.0,-339,-0.0941666666667,324,84,240,15,LBTI,FLAOAO,2.48000001907
20171110,00:33:11,1760,0.488888888889,715,0.198611111111,788,135,652,256,LBTI,FLAOAO,1.0
20171110,01:06:25,3819,1.06083333333,3399,0.944166666667,239,79,159,180,LBTI,FLAOAO,5.80000019073
20171110,02:13:45,4728,1.31333333333,4472,1.24222222222,138,88,49,117,LBTI,FLAOAO,4.09999990463
20171110,03:32:57,966,0.268333333333,502,0.139444444444,440,94,346,22,LBTI,FLAOAO,3.86999988556
20171110,03:49:24,846,0.235,493,0.136944444444,353,125,227,0,LBTI,FLAOAO,4.11000013351
20171110,04:07:49,4135,1.14861111111,3584,0.995555555556,355,97,258,194,LBTI,FLAOAO,4.09999990463
20171110,05:16:56,4464,1.24,4152,1.15333333333,190,65,124,120,LBTI,FLAOAO,5.09999990463
20171110,06:31:41,2257,0.626944444444,1833,0.509166666667,339,76,262,84,LBTI,FLAOAO,4.90000009537
20171110,07:09:31,2570,0.713888888889,2362,0.656111111111,208,141,67,0,LBTI,FLAOAO,3.20000004768
20171110,07:53:11,1171,0.325277777778,925,0.256944444444,246,137,108,0,LBTI,FLAOAO,4.90000009537
20171110,08:18:45,1453,0.403611111111,1180,0.327777777778,242,134,108,30,LBTI,FLAOAO,2.61999988556
20171110,08:43:34,1047,0.290833333333,753,0.209166666667,282,123,158,11,LBTI,FLAOAO,0.860000014305
20171110,09:01:14,2768,0.768888888889,2395,0.665277777778,354,84,269,19,LBTI,FLAOAO,2.78999996185
20171110,10:07:45,1637,0.454722222222,1313,0.364722222222,313,129,183,11,LBTI,FLAOAO,4.59999990463
20171110,10:35:21,1575,0.4375,1250,0.347222222222,302,118,183,22,LBTI,FLAOAO,3.40000009537
20171110,11:13:18,2690,0.747222222222,2467,0.685277777778,223,119,104,0,LBTI,FLAOAO,1.0
20171110,12:21:21,997,0.276944444444,841,0.233611111111,155,122,33,0,LBTI,FLAOAO,0.370000004768
20171125,05:40:19,7913,2.19805555556,5907,1.64083333333,952,266,685,1052,FLAO,FLAOAO,9.67000007629
20171125,08:01:30,908,0.252222222222,530,0.147222222222,313,226,86,63,FLAO,FLAOAO,9.89999961853
20171125,08:20:29,6732,1.87,5232,1.45333333333,553,251,302,946,FLAO,FLAOAO,13.0
20171127,04:59:29,1427,0.396388888889,9,0.0025,1417,323,1094,0,FLAO,FLAOAO,12.279999733
20171127,05:23:51,408,0.113333333333,18,0.005,390,244,145,0,FLAO,FLAOAO,12.279999733
20171127,05:30:48,8725,2.42361111111,7398,2.055,362,207,155,964,FLAO,FLAOAO,12.279999733
20171127,07:56:20,403,0.111944444444,20,0.00555555555556,382,195,187,0,FLAO,FLAOAO,12.6999998093
20171127,08:05:40,1227,0.340833333333,486,0.135,675,281,393,65,FLAO,FLAOAO,9.89999961853
20171127,08:26:15,5062,1.40611111111,3739,1.03861111111,711,243,467,611,FLAO,FLAOAO,13.0
20171203,06:58:26,1623,0.450833333333,1095,0.304166666667,498,348,149,29,FLAO,FLAOAO,11.0699996948
20171203,08:19:19,4952,1.37555555556,4238,1.17722222222,564,335,229,149,FLAO,FLAOAO,11.0699996948
20171203,09:56:03,3873,1.07583333333,3401,0.944722222222,291,242,48,180,FLAO,FLAOAO,11.0500001907
20171203,11:00:40,4013,1.11472222222,3539,0.983055555556,316,213,103,158,FLAO,FLAOAO,11.0500001907
20171203,12:10:52,4755,1.32083333333,3614,1.00388888889,807,359,447,333,FLAO,FLAOAO,15.5600004196
20171209,01:14:05,1672,0.464444444444,1034,0.287222222222,638,331,306,0,FLAO,FLAOAO,8.51000022888
20171209,01:43:01,1959,0.544166666667,1084,0.301111111111,875,191,684,0,FLAO,FLAOAO,8.51000022888
20171209,02:15:47,1027,0.285277777778,447,0.124166666667,579,183,396,0,FLAO,FLAOAO,8.51000022888
20171209,02:32:58,1074,0.298333333333,583,0.161944444444,490,234,256,0,FLAO,FLAOAO,11.1999998093
20171209,02:51:29,865,0.240277777778,480,0.133333333333,384,192,191,0,FLAO,FLAOAO,11.1999998093
20171209,03:05:58,1232,0.342222222222,731,0.203055555556,501,228,272,0,FLAO,FLAOAO,14.1999998093
20171209,03:26:35,1181,0.328055555556,394,0.109444444444,786,302,483,0,FLAO,FLAOAO,15.5
20171209,03:54:31,4239,1.1775,3604,1.00111111111,454,227,227,181,FLAO,FLAOAO,11.0699996948
20171209,05:05:14,4362,1.21166666667,3826,1.06277777778,383,216,167,151,FLAO,FLAOAO,11.0699996948
20171209,06:24:04,4188,1.16333333333,3421,0.950277777778,428,267,160,338,FLAO,FLAOAO,11.0699996948
20171209,07:34:24,5522,1.53388888889,5081,1.41138888889,253,251,1,186,FLAO,FLAOAO,11.0699996948
20171212,03:08:40,1156,0.321111111111,786,0.218333333333,355,302,52,15,FLAO,FLAOAO,10.8199996948
20171212,03:41:06,3844,1.06777777778,3280,0.911111111111,486,304,182,77,FLAO,FLAOAO,10.8199996948
20171215,00:22:53,3059,0.849722222222,1965,0.545833333333,738,108,630,355,LBTI,FLAOAO,2.04999995232
20171215,01:15:19,1518,0.421666666667,1230,0.341666666667,233,112,120,54,LBTI,FLAOAO,10.6999998093
20171215,01:41:36,586,0.162777777778,245,0.0680555555556,341,267,74,0,LBTI,FLAOAO,8.0
20171215,04:38:57,858,0.238333333333,715,0.198611111111,142,97,45,0,LBTI,FLAOAO,9.32999992371
20171215,04:53:33,3970,1.10277777778,3680,1.02222222222,213,97,115,76,LBTI,FLAOAO,9.32999992371
20171215,05:59:57,937,0.260277777778,719,0.199722222222,173,94,78,44,LBTI,FLAOAO,10.6999998093
20171215,06:18:25,1797,0.499166666667,1605,0.445833333333,146,87,58,44,LBTI,FLAOAO,10.6999998093
20171215,06:48:25,924,0.256666666667,716,0.198888888889,158,90,68,49,LBTI,FLAOAO,10.6999998093
20171220,00:27:12,1932,0.536666666667,556,0.154444444444,1247,175,1071,128,LBTI,FLAOAO,2.04999995232
20171220,01:03:03,2966,0.823888888889,2574,0.715,263,116,147,128,LBTI,FLAOAO,4.90000009537
20171220,01:56:57,4463,1.23972222222,3803,1.05638888889,463,131,332,196,LBTI,FLAOAO,4.09999990463
20171220,03:11:36,1897,0.526944444444,1309,0.363611111111,473,118,354,114,LBTI,FLAOAO,5.69999980927
20171220,03:43:22,2367,0.6575,1636,0.454444444444,622,116,505,108,LBTI,FLAOAO,5.5
20171220,05:17:45,1682,0.467222222222,1423,0.395277777778,166,97,68,92,LBTI,FLAOAO,3.70000004768
20171220,05:46:06,2093,0.581388888889,1490,0.413888888889,512,149,362,90,LBTI,FLAOAO,6.30000019073
20171220,06:21:18,2592,0.72,1712,0.475555555556,750,122,628,128,LBTI,FLAOAO,4.90000009537
20171220,07:04:50,3690,1.025,3127,0.868611111111,355,95,260,206,LBTI,FLAOAO,3.20000004768
20171220,08:06:44,2267,0.629722222222,1535,0.426388888889,627,106,520,104,LBTI,FLAOAO,5.19999980927
20171220,08:44:48,1396,0.387777777778,736,0.204444444444,648,90,558,11,LBTI,FLAOAO,6.80000019073
20171220,09:18:47,1117,0.310277777778,919,0.255277777778,174,115,58,24,LBTI,FLAOAO,5.69999980927
20171220,09:37:40,1273,0.353611111111,1031,0.286388888889,241,114,127,0,LBTI,FLAOAO,1.39999997616
20171220,09:59:06,5900,1.63888888889,5251,1.45861111111,480,128,352,167,LBTI,FLAOAO,5.19999980927
20171220,11:47:31,2487,0.690833333333,1925,0.534722222222,460,153,307,101,LBTI,FLAOAO,3.59999990463
20171220,12:29:06,1823,0.506388888889,1576,0.437777777778,132,76,56,114,LBTI,FLAOAO,3.59999990463
20171220,13:00:14,3106,0.862777777778,2640,0.733333333333,364,109,254,101,LBTI,FLAOAO,6.0
20171221,00:33:24,3356,0.932222222222,2498,0.693888888889,857,156,701,0,LBTI,FLAOAO,2.04999995232
20171221,01:47:18,3016,0.837777777778,2596,0.721111111111,328,146,182,91,LBTI,FLAOAO,11.3999996185
20171221,02:38:04,2048,0.568888888889,1622,0.450555555556,224,105,119,201,LBTI,FLAOAO,11.3999996185
20171221,03:15:10,1984,0.551111111111,1629,0.4525,298,128,170,56,LBTI,FLAOAO,10.3999996185
20171221,03:56:31,6206,1.72388888889,5551,1.54194444444,430,124,306,225,LBTI,FLAOAO,10.0
20171223,02:02:36,2606,0.723888888889,1205,0.334722222222,1287,172,1115,112,LBTI,FLAOAO,2.00999999046
20171223,02:46:25,2949,0.819166666667,2293,0.636944444444,523,145,377,132,LBTI,FLAOAO,5.59999990463
20171223,03:35:53,4946,1.37388888889,4447,1.23527777778,263,115,148,235,LBTI,FLAOAO,3.70000004768
20171223,05:00:56,5167,1.43527777778,4774,1.32611111111,287,163,123,105,LBTI,FLAOAO,5.59999990463
20171223,06:27:22,2192,0.608888888889,1828,0.507777777778,253,119,134,109,LBTI,FLAOAO,5.59999990463
20171223,07:05:21,341,0.0947222222222,77,0.0213888888889,263,88,175,0,LBTI,FLAOAO,3.5
20171223,07:11:15,2108,0.585555555556,1837,0.510277777778,170,72,98,101,LBTI,FLAOAO,3.5
20171223,07:47:10,776,0.215555555556,180,0.05,583,94,488,13,LBTI,FLAOAO,5.69999980927
20171223,08:04:13,1135,0.315277777778,854,0.237222222222,263,88,175,16,LBTI,FLAOAO,4.59999990463
20171223,08:23:20,1582,0.439444444444,1267,0.351944444444,270,91,179,44,LBTI,FLAOAO,5.69999980927
20171223,08:59:12,863,0.239722222222,415,0.115277777778,444,225,219,3,LBTI,FLAOAO,13.7899999619
20171223,09:16:13,790,0.219444444444,436,0.121111111111,334,180,153,19,LBTI,FLAOAO,13.8000001907
20171223,09:29:40,843,0.234166666667,591,0.164166666667,199,88,111,52,LBTI,FLAOAO,3.18000006676
20171223,09:44:07,897,0.249166666667,529,0.146944444444,367,180,187,0,LBTI,FLAOAO,13.7899999619
20171223,09:59:32,298,0.0827777777778,1,0.000277777777778,297,114,183,0,LBTI,FLAOAO,13.5
20171223,10:05:36,6012,1.67,5428,1.50777777778,583,184,398,0,LBTI,FLAOAO,13.5
20171223,12:07:49,454,0.126111111111,139,0.0386111111111,297,212,84,17,LBTI,FLAOAO,4.80000019073
20171223,12:22:36,1952,0.542222222222,1640,0.455555555556,269,147,121,42,LBTI,FLAOAO,4.80000019073
